epoch,elapsed_seconds,epoch_seconds,learning_rate,train_total_loss,train_data_loss,train_regularization_loss,train_metric_pct,val_total_loss,val_data_loss,val_regularization_loss,val_metric_pct,lcs_line_pct,val_minus_lcs_pct_point,is_below_lcs,just_crossed_lcs,first_below_lcs_epoch,first_below_lcs_elapsed_seconds,best_epoch,best_val_metric_pct,epochs_without_improvement,train_sigma11_pct,train_sigma22_pct,train_sigma33_pct,train_sigma12_pct,train_sigma13_pct,train_sigma23_pct,val_sigma11_pct,val_sigma22_pct,val_sigma33_pct,val_sigma12_pct,val_sigma13_pct,val_sigma23_pct
1,3.425608299999965,3.42560560000004,0.01,0.5769221402391975,0.5769221402391975,0,69.85647036993336,0.3598901203678488,0.3598901203678488,0,55.28804687390109,9.518163996564953,45.76988287733614,FALSE,FALSE,,,1,55.28804687390109,0,64.35378775153163,61.800254356522665,80.3693038747902,62.492728659437766,83.02445116236325,82.37445367735245,51.09756912056631,48.54259340904121,65.47924956833009,45.624764189570215,63.223129576847626,66.78139016376643
2,6.469183999999984,3.01188209999998,0.01,0.29406952832653765,0.29406952832653765,0,50.771161107610816,0.23440880854174231,0.23440880854174231,0,45.522833157002374,9.518163996564953,36.00466916043742,FALSE,FALSE,,,2,45.522833157002374,0,47.54179901361593,45.24061659515202,60.70864559627768,41.955639538394045,56.39705398678115,57.585959668710885,42.645122534703304,41.09241718489338,55.00056435838262,37.78481948333093,50.56267380382325,47.85417720771692
3,9.51285519999999,3.0118631999999934,0.01,0.18695211144112353,0.18695211144112353,0,41.07053277612887,0.1501509956477447,0.1501509956477447,0,36.74995467010793,9.518163996564953,27.23179067354298,FALSE,FALSE,,,3,36.74995467010793,0,39.19802133361882,38.061994437656956,48.52783691425426,34.023121522114025,43.77590773207211,42.85905496360867,35.67944866055278,33.83626962700415,43.32109813574778,30.273440527376614,38.89558139720373,37.748631164720095
4,13.042090499999972,3.4950480999999627,0.01,0.12187131050779043,0.12187131050779043,0,33.39576294855423,0.1121370375728738,0.1121370375728738,0,32.661429731151806,9.518163996564953,23.143265734586855,FALSE,FALSE,,,4,32.661429731151806,0,32.53370761702072,31.698369457370884,38.5760753369141,27.699092927455865,34.19940195888634,33.98788248101996,33.151797071081376,31.048363825762877,38.74033246296105,25.10242395573659,30.162938397208787,30.010237214865263
5,16.43048209999995,3.35721749999999,0.01,0.08248144911457703,0.08248144911457703,0,27.536248965663656,0.06834361942918886,0.06834361942918886,0,24.83690038271115,9.518163996564953,15.318736386146197,FALSE,FALSE,,,5,24.83690038271115,0,27.23102253483795,26.458456389815343,31.117058971197174,23.11478843178221,27.644484142041243,27.757928650181363,25.10389171522786,23.619264446166248,27.278098266300326,21.088205298177495,25.66856658185101,25.33080042003523
6,19.475708499999996,3.0147047000000384,0.01,0.060714475184926724,0.060714475184926724,0,23.60277933197245,0.05334124066856038,0.05334124066856038,0,21.52348859959801,9.518163996564953,12.005324603033058,FALSE,FALSE,,,6,21.52348859959801,0,23.38980189835601,23.038569213435924,26.05465574509643,20.05916211499274,23.504711792826633,24.026019809479358,21.321004119835,20.230429193543145,22.8252373168253,19.854424514629496,23.73488965489915,23.35379207813851
7,22.510988499999996,3.0120226999999886,0.01,0.044052609231506064,0.044052609231506064,0,19.612800917714846,0.03901077993247196,0.03901077993247196,0,18.215937994814873,9.518163996564953,8.69777399824992,FALSE,FALSE,,,7,18.215937994814873,0,18.660281193730953,18.520069238242233,21.55613151097768,18.104241746709107,21.30373456998696,21.73363667539128,16.830374442784773,17.343888045376872,19.759324536491338,17.230367707308226,20.569531964539692,20.67386358448478
8,25.28131659999997,2.745493500000009,0.01,0.034608636229838355,0.034608636229838355,0,17.323213229231946,0.032835113985875346,0.032835113985875346,0,16.788737854475812,9.518163996564953,7.270573857910859,FALSE,FALSE,,,8,16.788737854475812,0,16.555762745141266,16.315125248529483,18.76590646020687,16.30962209821234,19.09647519557716,19.21331564359545,16.429091681924024,15.20042248568183,18.447859013086653,15.881051500390129,18.4704278540167,18.68569597146544
9,28.1183767,2.837056500000017,0.01,0.028652080042468216,0.028652080042468216,0,15.790673302725134,0.02730603812384007,0.02730603812384007,0,15.209742181637859,9.518163996564953,5.691578185072906,FALSE,FALSE,,,9,15.209742181637859,0,15.122269188714125,14.992528489619476,17.023732611225853,14.901312422758714,17.148520121737047,17.43782652100011,14.249963183801842,14.043221093629867,16.724188533415052,14.703878570589582,17.129045331336496,17.22599780164093
10,30.796856600000012,2.646372499999984,0.01,0.02419058261767606,0.02419058261767606,0,14.35301811129471,0.02547954977025211,0.02547954977025211,0,14.689374409986586,9.518163996564953,5.171210413421633,FALSE,FALSE,,,10,14.689374409986586,0,13.670144329758532,13.311068769443551,15.363272413677842,13.971234011012355,16.138194076372216,16.398008209830277,14.542599098523192,12.938742346167844,16.03185601682327,13.98394822570033,16.00557159743113,17.28528719872025
11,33.79407579999997,2.956213700000035,0.01,0.0215123829117874,0.0215123829117874,0,13.503270842259896,0.020845858419161773,0.020845858419161773,0,12.928693826615422,9.518163996564953,3.4105298300504696,FALSE,FALSE,,,11,12.928693826615422,0,12.685345633895823,12.578266973968914,14.452091298572128,13.328478643342038,15.314793773968288,15.442739219787804,11.800463155569783,11.24352370853188,14.027124310417701,13.248544917720128,16.25324038083359,15.61879687959028
