epoch,elapsed_seconds,epoch_seconds,learning_rate,train_total_loss,train_data_loss,train_regularization_loss,train_metric_pct,val_total_loss,val_data_loss,val_regularization_loss,val_metric_pct,lcs_line_pct,val_minus_lcs_pct_point,is_below_lcs,just_crossed_lcs,first_below_lcs_epoch,first_below_lcs_elapsed_seconds,best_epoch,best_val_metric_pct,epochs_without_improvement,train_sigma11_pct,train_sigma22_pct,train_sigma33_pct,train_sigma12_pct,train_sigma13_pct,train_sigma23_pct,val_sigma11_pct,val_sigma22_pct,val_sigma33_pct,val_sigma12_pct,val_sigma13_pct,val_sigma23_pct
1,8.139477200000329,8.139473899998848,0.001,0.3014793225296101,0.3014793225296101,0,39.05607716087923,0.20304299150168595,0.20304299150168595,0,32.430057919832365,8.074017482362319,24.356040437470046,FALSE,FALSE,,,1,32.430057919832365,0,51.0811531378495,65.76861200591044,30.522561400217548,53.57206370276244,30.959043051753998,40.77031583614582,45.26945124029189,58.02703012166499,25.457407321601327,39.75277574643379,20.960568516256963,27.991536723699685
2,16.870446700000684,8.712031199998819,0.001,0.1738607231139914,0.1738607231139914,0,30.023357707133673,0.14620691316639853,0.14620691316639853,0,27.64315535634087,8.074017482362319,19.56913787397855,FALSE,FALSE,,,2,27.64315535634087,0,41.33894415557786,53.0631513916705,23.868262431773747,37.553096972781006,19.717825179331346,25.875181294054023,37.35190427929623,48.32445523582177,22.443762230180837,34.48131917245927,18.603871817118016,23.67171073894121
3,25.830752900001244,8.941495299999588,0.001,0.13978653595840904,0.13978653595840904,0,26.935311668392963,0.12143717936012655,0.12143717936012655,0,24.930204211635946,8.074017482362319,16.856186729273627,FALSE,FALSE,,,3,24.930204211635946,0,36.88952818108581,47.48612685123032,21.524245995839696,33.77640557437626,17.946014325331706,22.904910339599642,34.156631268244325,42.2085366318031,19.996949702136522,33.03053822619139,17.550420923260493,22.627485105813985
4,35.13503750000018,9.286197499999616,0.001,0.1113600783641314,0.1113600783641314,0,23.789616452880555,0.10110459894869968,0.10110459894869968,0,22.7035635260549,8.074017482362319,14.629546043692581,FALSE,FALSE,,,4,22.7035635260549,0,32.39551114266684,41.72570178709712,18.842804388794008,31.48480868463246,16.370509712596856,21.016424862181797,31.05870485886846,39.614126696294214,18.006871738287387,29.671847682742758,15.68603328779015,20.293156302675882
5,44.74231240000154,9.591085899999598,0.001,0.09775609288439562,0.09775609288439562,0,22.316519772478948,0.09923658385166989,0.09923658385166989,0,23.009464704632432,8.074017482362319,14.935447222270113,FALSE,FALSE,,,4,22.7035635260549,1,30.200684056493166,39.14181217087525,17.721649533568907,29.429811217802353,15.455731011781829,19.837507183919122,30.370512620483858,38.942266453218565,19.43627726561521,28.62222785776388,14.951637943610383,19.988891393764654
6,53.50096090000079,8.742180999999619,0.001,0.08343415084209597,0.08343415084209597,0,20.52427172170087,0.06960718535508534,0.06960718535508534,0,18.236510712733313,8.074017482362319,10.162493230370995,FALSE,FALSE,,,6,18.236510712733313,0,27.598576080807984,35.71144330655479,16.260395271776687,27.7806970454935,14.571374952704883,18.789343677082805,24.074481158110867,31.562496965118886,13.972997842643839,27.548023700853413,14.012141951001153,18.697107330745006
7,61.672694000000774,8.153651999999056,0.001,0.07043684450134005,0.07043684450134005,0,18.741779084088083,0.06008587076267129,0.06008587076267129,0,17.071293803193306,8.074017482362319,8.997276320830988,FALSE,FALSE,,,7,17.071293803193306,0,25.126580709825717,32.43265059686242,14.705245703288577,26.059964220114846,13.746204487676273,17.69716402816078,22.16079564074136,29.087693207601024,13.3428301983359,25.385780329583362,13.38122304652886,17.495524533396058
8,70.9929333,9.303232500000377,0.001,0.06089741463607335,0.06089741463607335,0,17.40111778215088,0.05527538341756801,0.05527538341756801,0,16.313418995526405,8.074017482362319,8.239401513164086,FALSE,FALSE,,,8,16.313418995526405,0,23.284228272426628,30.007497501726167,13.609737061490119,24.352196637062274,12.985211675494357,16.62428468438862,21.999513290638266,28.193292643909544,12.387384558600974,24.12078828168686,12.608331618525447,16.334259180624784
9,81.27542300000096,10.259185700000671,0.001,0.05665378261599897,0.05665378261599897,0,16.785380573770265,0.05463257201118804,0.05463257201118804,0,16.706729154951763,8.074017482362319,8.632711672589444,FALSE,FALSE,,,8,16.313418995526405,1,22.41821315742798,28.782893258788313,13.105907449116557,23.6075598358675,12.71354782740484,16.25951479653772,21.653788876559943,27.405175245214576,13.695617961428837,23.10477028997741,12.586915968936808,16.643821301185614
10,89.78295520000029,8.49414859999888,0.001,0.04983393582370024,0.04983393582370024,0,15.702286949697806,0.04666163524318952,0.04666163524318952,0,15.037446881877841,8.074017482362319,6.9634293995155225,FALSE,FALSE,,,10,15.037446881877841,0,20.959532319097924,26.97374561328735,12.189453549224513,22.298763193147824,12.023958176832826,15.29517550927354,20.21066904118632,26.276047194875996,11.309128592175767,21.777453961304587,11.720613753403555,15.303123472247684
