method_label,bcc_weighted_normalized_mse,hcp_weighted_normalized_mse,error_over_lcs_x
LCS,0.0103962797182352,0.0122761088801297,1.0
Linear,0.4564296221639504,0.6854116595822202,6.934884460465068
Ridge,0.7816832897365558,0.8942891377158573,8.60582173447961
Lasso,0.4571264196432275,0.6854886489894212,6.936595687744701
Polynomial,0.1292670441219897,0.4073340667322457,4.567782771743732
MLP,0.0035665047318236,0.0101171137436215,0.7520815005713118
LSTM,0.0006939395522127,0.000420648948872,0.2010626970548226
