Case,Point_Index,True_Strain,LI_WARM_True_Stress,BI_Interpolated_Stress,Absolute_Error,Relative_Error_pct,Used_for_MAPE,Case_MAPE_pct
01_001_20.csv,1,0.0,0.0,0.0,0.0,,0,0.31870896325786224
01_001_20.csv,2,0.0059820717293904,408.39446199627,409.6685710661603,1.2741090698903008,0.31198000669801873,1,0.31870896325786224
01_001_20.csv,3,0.011928570968345,743.5912129672679,751.5852964641856,7.99408349691771,1.0750642769187218,1,0.31870896325786224
01_001_20.csv,4,0.0178399173671714,899.6375543689433,919.3996409017528,19.762086532809576,2.196672030512535,1,0.31870896325786224
01_001_20.csv,5,0.0237165268210428,949.3143751934008,958.2298751952172,8.91550000181644,0.9391514797192567,1,0.31870896325786224
01_001_20.csv,6,0.0295588015905227,977.0643865709412,983.5817895207998,6.517402949858592,0.6670392493509829,1,0.31870896325786224
01_001_20.csv,7,0.0353671423414218,996.8996613505652,1002.2469743308476,5.347312980282368,0.5363943020141076,1,0.31870896325786224
01_001_20.csv,8,0.0411419427877547,1012.2266174919276,1016.642779354762,4.416161862834315,0.4362819339582851,1,0.31870896325786224
01_001_20.csv,9,0.046883586296973,1024.5597635914942,1028.2502152531197,3.6904516616255023,0.3601987695367798,1,0.31870896325786224
01_001_20.csv,10,0.0525924514481166,1034.762828767722,1037.8619130003565,3.099084232634368,0.2994970583090044,1,0.31870896325786224
01_001_20.csv,11,0.0582689068587828,1043.2870775374624,1045.9348778270812,2.647800289618772,0.25379402722676725,1,0.31870896325786224
01_001_20.csv,12,0.063913325408167,1050.5493758682587,1052.8378535286238,2.2884776603650607,0.21783627813530215,1,0.31870896325786224
01_001_20.csv,13,0.0695260597573401,1056.803232296059,1058.7290242826784,1.9257919866195152,0.18222805606257012,1,0.31870896325786224
01_001_20.csv,14,0.0751074739796861,1062.178851439222,1063.786771607638,1.607920168416058,0.15137941846962705,1,0.31870896325786224
01_001_20.csv,15,0.0806579019727236,1066.8258370202198,1068.133200300104,1.3073632798841572,0.12254702075230846,1,0.31870896325786224
01_001_20.csv,16,0.0861776995220419,1070.8587413064452,1071.8843418957476,1.0256005893024849,0.09577365806915435,1,0.31870896325786224
01_001_20.csv,17,0.0916671892871969,1074.3515257203262,1075.0991390021454,0.7476132818192127,0.06958739890260374,1,0.31870896325786224
01_001_20.csv,18,0.0971267089999163,1077.3366274077998,1077.8405448873964,0.5039174795965664,0.04677437550870723,1,0.31870896325786224
01_001_20.csv,19,0.1025565908534479,1079.9002598104505,1080.161570357986,0.2613105475354587,0.02419765577066582,1,0.31870896325786224
01_001_20.csv,20,0.1079571415585973,1082.0602792327004,1082.1045427825077,0.0442635498072832,0.004090673196013712,1,0.31870896325786224
01_001_20.csv,21,0.1133286829121737,1083.8672142011978,1083.6840794360114,0.18313476518642346,0.016896420778018683,1,0.31870896325786224
01_001_20.csv,22,0.1186715315172836,1085.3400897219335,1084.9305539545949,0.40953576733863883,0.0377334045998027,1,0.31870896325786224
01_001_20.csv,23,0.1239859791491398,1086.51251664747,1085.9104507298816,0.6020659175883338,0.05541269965725395,1,0.31870896325786224
01_001_20.csv,24,0.1292723326662926,1087.4046306077644,1086.6045438182027,0.8000867895616466,0.0735776515053525,1,0.31870896325786224
01_001_20.csv,25,0.134530887539002,1088.0447504519725,1087.0927670586934,0.9519833932790789,0.08749487490138858,1,0.31870896325786224
01_001_20.csv,26,0.1397619475581712,1088.4759883076003,1087.3567317100024,1.119256597597996,0.10282786295894818,1,0.31870896325786224
01_001_20.csv,27,0.1449657730344857,1088.7104170937964,1087.4471004398883,1.2633166539080776,0.1160378953000537,1,0.31870896325786224
01_001_20.csv,28,0.1501426588400785,1088.7575461010783,1087.4001536444666,1.3573924566117057,0.12467352915005081,1,0.31870896325786224
02_001_500.csv,1,0.0,0.0,0.0,0.0,,0,0.6131433900997458
02_001_500.csv,2,0.0059820717293904,369.7757957955375,386.88838753226446,17.112591736726984,4.627829060555699,1,0.6131433900997458
02_001_500.csv,3,0.011928570968345,503.3858417266893,522.2259722217952,18.84013049510594,3.7426818423183,1,0.6131433900997458
02_001_500.csv,4,0.0178399173671714,535.5485871167762,539.2449883590798,3.6964012423036365,0.6902083828105847,1,0.6131433900997458
02_001_500.csv,5,0.0237165268210428,546.7675626113912,547.5903751115588,0.822812500167629,0.15048670704564704,1,0.6131433900997458
02_001_500.csv,6,0.0295588015905227,552.3241720037063,552.2619973211296,0.06217468257671044,0.011256918622836088,1,0.6131433900997458
02_001_500.csv,7,0.0353671423414218,555.4342884757834,554.8991524902558,0.5351359855276314,0.09634550776404993,1,0.6131433900997458
02_001_500.csv,8,0.0411419427877547,557.1604651513292,556.3027739896859,0.8576911616432881,0.15393970234595386,1,0.6131433900997458
02_001_500.csv,9,0.046883586296973,558.0016003198093,556.9081213154677,1.0934790043415887,0.19596341725810093,1,0.6131433900997458
02_001_500.csv,10,0.0525924514481166,558.2373596285861,556.9587155839181,1.278644044667999,0.22905024585218076,1,0.6131433900997458
02_001_500.csv,11,0.0582689068587828,558.033130397496,556.6049382606311,1.4281921368649364,0.2559332159808526,1,0.6131433900997458
02_001_500.csv,12,0.063913325408167,557.4971795004676,555.9488639492292,1.5483155512383746,0.2777261676239702,1,0.6131433900997458
02_001_500.csv,13,0.0695260597573401,556.7056155779137,555.0557405826839,1.6498749952297658,0.2963639936552531,1,0.6131433900997458
02_001_500.csv,14,0.0751074739796861,555.7137381343018,553.9777133514367,1.7360247828651154,0.3123955129656274,1,0.6131433900997458
02_001_500.csv,15,0.0806579019727236,554.5625299382095,552.7515076012344,1.8110223369751566,0.32656774289762136,1,0.6131433900997458
02_001_500.csv,16,0.0861776995220419,553.2843411097538,551.4015896387327,1.882751471021038,0.3402864189585949,1,0.6131433900997458
02_001_500.csv,17,0.0916671892871969,551.893329033478,549.9496080847325,1.943720948745522,0.3521914193363289,1,0.6131433900997458
02_001_500.csv,18,0.0971267089999163,550.4106604242988,548.4110658232676,1.9995946010312764,0.3632914012766096,1,0.6131433900997458
02_001_500.csv,19,0.1025565908534479,548.8509189902295,546.7952286774148,2.055690312814704,0.3745443874990212,1,0.6131433900997458
02_001_500.csv,20,0.1079571415585973,547.2232969653144,545.1209823289714,2.1023146363429532,0.38417856988208743,1,0.6131433900997458
02_001_500.csv,21,0.1133286829121737,545.5349840450992,543.3890807299258,2.1459033151734275,0.3933575990419024,1,0.6131433900997458
02_001_500.csv,22,0.1186715315172836,543.7996185934685,541.6097808820077,2.1898377114607683,0.40269202783274444,1,0.6131433900997458
02_001_500.csv,23,0.1239859791491398,542.0233843010765,539.7976611579516,2.225723143124924,0.41063230989469757,1,0.6131433900997458
02_001_500.csv,24,0.1292723326662926,540.214134162135,537.9537622207595,2.2603719413755243,0.4184214737145542,1,0.6131433900997458
02_001_500.csv,25,0.134530887539002,538.3737356081565,536.0754365483444,2.2982990598120523,0.4268965790494688,1,0.6131433900997458
02_001_500.csv,26,0.1397619475581712,536.5020260961264,534.1693524390166,2.332673657109808,0.43479307507626397,1,0.6131433900997458
02_001_500.csv,27,0.1449657730344857,534.6121125725049,532.2565791186807,2.355533453824137,0.4406060765233178,1,0.6131433900997458
02_001_500.csv,28,0.1501426588400785,532.7020347644975,530.3249490091275,2.37708575536999,0.44623177691087224,1,0.6131433900997458
05_001_800.csv,1,0.0,0.0,0.0,0.0,,0,1.8990872762485216
05_001_800.csv,2,0.0059820717293904,92.08971678639044,96.4632747700156,4.373557983625162,4.749236001854565,1,1.8990872762485216
