Case,20_MAE_MPa,20_RMSE_MPa,20_MAPE_percent,40_MAE_MPa,40_RMSE_MPa,40_MAPE_percent,Better_by_MAPE
01_001_20,33.54377375146276,52.37449545458699,3.3090839321352283,39.038119204892716,56.008167575928844,3.8285580093189906,20^3
02_001_500,21.134683820823728,24.940539398271824,3.962938032477025,10.163920563825073,15.13193729211679,1.9326908879998606,40^3
05_001_800,6.224763334164785,7.282644646390402,7.0877114806417705,5.8630297241494125,6.411372412612758,6.805429542738588,40^3
06_01_20,39.268605854124104,53.84009933646244,3.65070167721818,27.655100846183846,50.30003709570171,2.6368526711169107,40^3
07_01_500,24.107296818079963,29.218727637163514,4.565319742761298,18.269548461819678,26.149270037682363,3.7214264234224936,40^3
10_01_800,7.517897785353692,9.075404632407645,5.199392708444214,9.785187925420079,12.69102491923596,6.921787986368242,20^3
11_06_20,46.581293049192496,62.063950885003855,4.096882050077787,31.821380983521273,54.88095459250615,2.851309410404834,40^3
12_06_500,8.489918443424541,10.039337428452978,1.02602947721316,24.308895732573255,30.98711263653006,2.8742965260717463,20^3
15_06_800,13.081084956246459,15.166004186977128,6.9076651426106475,13.4725211081371,15.01639265275776,7.227237990702802,20^3
