Case,Size,Folder,Grid_Index,True_Strain,RVE1_Stress,RVE2_Stress,RVE3_Stress,Mean_Stress,Std_Stress,Min_Stress,Max_Stress,Experiment_Stress,Relative_Error_pct
01_001_20,L=1.6um,161616,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
01_001_20,L=1.6um,161616,2,0.0003846153846153846,24.01217497057398,28.477539613744263,27.792321992895538,26.76067885907126,2.404804777064845,24.01217497057398,28.477539613744263,29.369996916910743,
01_001_20,L=1.6um,161616,3,0.0007692307692307692,48.02434994114796,56.955079227488525,55.584643985791075,53.52135771814252,4.80960955412969,48.02434994114796,56.955079227488525,58.73999383382149,
01_001_20,L=1.6um,161616,4,0.0011538461538461537,72.03652491172193,85.43261884123278,83.37696597868661,80.28203657721377,7.214414331194541,72.03652491172193,85.43261884123278,88.10999075073222,
01_001_20,L=1.6um,161616,5,0.0015384615384615385,96.04869988229592,113.91015845497705,111.16928797158215,107.04271543628504,9.61921910825938,96.04869988229592,113.91015845497705,117.47998766764297,
01_001_20,L=1.6um,161616,6,0.0019230769230769232,120.0608748528699,142.38769806872133,138.9616099644777,133.8033942953563,12.024023885324233,120.0608748528699,142.38769806872133,146.84998458455374,
01_001_20,L=1.6um,161616,7,0.0023076923076923075,144.07304982344385,170.86523768246556,166.75393195737323,160.56407315442755,14.428828662389082,144.07304982344385,170.86523768246556,176.21998150146445,8.884298031155334
01_001_20,L=1.6um,161616,8,0.002692307692307692,168.08522479401785,199.34277729620985,194.54625395026878,187.32475201349882,16.833633439453926,168.08522479401785,199.34277729620985,205.5899784183752,8.884298031155335
01_001_20,L=1.6um,161616,9,0.003076923076923077,192.09739976459184,227.8203169099541,222.3385759431643,214.08543087257007,19.23843821651876,192.09739976459184,227.8203169099541,234.95997533528595,8.884298031155337
01_001_20,L=1.6um,161616,10,0.0034615384615384616,216.1095747351658,256.2978565236984,250.13089793605985,240.84610973164135,21.643242993583623,216.1095747351658,256.2978565236984,264.3299722521967,8.884298031155327
01_001_20,L=1.6um,161616,11,0.0038461538461538464,240.1217497057398,284.77539613744267,277.9232199289554,267.6067885907126,24.048047770648466,240.1217497057398,284.77539613744267,293.6999691691075,8.884298031155348
01_001_20,L=1.6um,161616,12,0.004230769230769231,264.13392467631377,313.2529357511869,305.7155419218509,294.3674674497839,26.4528525477133,264.13392467631377,313.2529357511869,323.06996608601816,8.884298031155323
01_001_20,L=1.6um,161616,13,0.004615384615384615,288.1460996468877,341.7304753649311,333.50786391474645,321.1281463088551,28.857657324778163,288.1460996468877,341.7304753649311,352.4399630029289,8.884298031155334
01_001_20,L=1.6um,161616,14,0.005,312.1582746174617,370.2080149786754,361.300185907642,347.88882516792637,31.26246210184301,312.1582746174617,370.2080149786754,381.8603284104628,8.896316457890945
01_001_20,L=1.6um,161616,15,0.005384615384615384,336.1704495880357,398.6855545924197,389.09250790053756,374.64950402699765,33.66726687890785,336.1704495880357,398.6855545924197,413.1675749667234,9.322626767801905
01_001_20,L=1.6um,161616,16,0.0057692307692307696,360.1826245586097,427.163094206164,416.8848298934331,401.4101828860689,36.07207165597271,360.1826245586097,427.163094206164,444.4748215229841,9.688881473500578
01_001_20,L=1.6um,161616,17,0.006153846153846154,383.8530334437466,454.30144818227967,442.7690297506851,426.9745037922371,37.786837291339374,383.8530334437466,454.30144818227967,475.7820680792447,10.258386677759024
01_001_20,L=1.6um,161616,18,0.006538461538461538,407.09996938170354,479.78045410441143,466.28892800285837,451.0564504963245,38.66050301175917,407.09996938170354,479.78045410441143,507.0893146355053,11.049900386770542
01_001_20,L=1.6um,161616,19,0.006923076923076923,430.34690531966055,505.2594600265433,489.80882625503176,475.1383972004119,39.55235555138154,430.34690531966055,505.2594600265433,538.396561191766,11.749362561181515
01_001_20,L=1.6um,161616,20,0.007307692307692308,453.59384125761744,530.7384659486751,513.328724507205,499.2203439044992,40.46119229711527,453.59384125761744,530.7384659486751,569.7038077480266,12.371948876757632
01_001_20,L=1.6um,161616,21,0.007692307692307693,476.84077719557445,556.217471870807,536.8486227593784,523.3022906085866,41.38589434150184,476.84077719557445,556.217471870807,601.0110543042873,12.92967294680695
